127.0.0.1 - - [26/Jul/2019:09:15:31 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:15:55 -0400] "GET /Project2/post HTTP/1.1" 500 27172
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:15:55 -0400] "GET /Project2/users HTTP/1.1" 500 27172
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:16:08 -0400] "GET /Project2/users HTTP/1.1" 500 27172
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:16:08 -0400] "GET /Project2/post HTTP/1.1" 500 27172
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:17:29 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:17:29 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:24:13 -0400] "OPTIONS /Project2/reaction/react HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:24:33 -0400] "OPTIONS /Project2/reaction/react HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:09:24:38 -0400] "OPTIONS /Project2/reaction/react HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:15:58:24 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:15:58:39 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:15:58:39 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:16:37:43 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:16:37:47 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:16:37:47 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:16:39:38 -0400] "GET /Project2/reaction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:16:40:39 -0400] "GET /Project2/reaction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:15:15 -0400] "GET /Project2/reaction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:24:45 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:24:45 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:27:16 -0400] "GET /Project2/reaction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:36:52 -0400] "GET /Project2/reaction HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:37:01 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:47:04 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:17:47:04 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:20:54:57 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:20:55:10 -0400] "GET /Project2/post HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Jul/2019:20:55:11 -0400] "GET /Project2/users HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Jul/2019:20:55:16 -0400] "OPTIONS /Project2/post HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2019:20:55:16 -0400] "POST /Project2/post HTTP/1.1" 500 12628
